polygon_id,polygon_name,point_id,point_name,point_wikidata_id
2201635,Munții Făgăraș,1656474413,Ciortea Vest,Q874546
11349326,Vințu de Jos,298253648,Laz,Q12116909
1270818,,1976375973,Viișoara,Q12093637
9717319,Padeș,460200592,Văieni,Q12089056
1302261,,422871243,Hațegana,Q12167081
11349326,Vințu de Jos,422871243,Hațegana,Q12167081
10514934,Poiana Mărului,380855974,Poiana Mărului,Q580851
13137187,Cepari,422880320,Ceparii Ungureni,Q12169535
12636341,,467467582,București Basarab,Q3646242
9833330,Zătreni,463296414,Dealu Văleni,Q12103057
10514249,Slimnic,454126126,Pădureni,Q13571577
9833330,Zătreni,463296513,Mecea,Q12123149
9845419,Nicolae Bălcescu,463286594,Mângureni,Q12123414
9729756,Drăguțești,460193782,Iași-Gorj,Q12174215
12557659,Adămuș,460352658,Adămuș,Q1090172
9717305,Târgu Jiu,448222842,Drăgoeni,Q12102380
9628658,Podari,461611098,Podari,Q2465789
11318484,Aghireșu,460369842,Aghireșu,Q284669
1285304,,370796643,Târâtu,Q12161324
9628658,Podari,461611109,Livezi,Q12119558
12577659,Iclănzel,460360464,Fânațe,Q615099
9729693,Stoina,460201107,Stoina,Q2717755
11320929,Zona Metropolitană Cluj,2634652314,Muzeul Etnografic al Transilvaniei,Q3330569
11320929,Zona Metropolitană Cluj,1281230764,Zorilor,Q1032736
2196506,Trascău,422869800,Întregalde,Q980510
11320929,Zona Metropolitană Cluj,460371660,Măcicașu,Q3891123
10487258,Berteștii de Jos,312033564,Spiru Haret,Q12157058
11320929,Zona Metropolitană Cluj,460373457,Cornești,Q4967027
13137430,Moșoaia,422880863,Hințești,Q12168150
11320929,Zona Metropolitană Cluj,460370055,Popești,Q732243
9716440,Prunișor,460206610,Prunaru,Q12145280
11320929,Zona Metropolitană Cluj,828506657,Opera maghiară de stat,Q5136596
13137183,Băiculești,422879940,Zigoneni,Q12107259
10744436,Moisei,258993268,Moisei,Q12735837
10631080,Câmpeni,422868240,Florești,Q9198387
11322070,Cărpiniș,463255423,Iecea Mică,Q848594
10541620,Rapoltu Mare,461632238,Rapoltu Mare,Q5053333
9685777,Braloștița,461612862,Valea Fântânilor,Q12087653
10715518,Mărășești,463190299,Siretu,Q12159494
10363625,Jijila,123535766,Garvăn,Q12094349
9882383,1 Decembrie,254749496,1 Decembrie,Q1076455
13137691,Suseni,422881313,Țuțulești,Q12168937
9748436,Costești,6234982018,Peștera Valea Bistriței,Q18545394
9365343,,2137792090,Monumentul Victimelor Pogromului din 1941,Q7925616
11349328,Blandiana,422869053,Răcătău,Q3892799
9716449,Ponoarele,460206470,Ludu,Q12118654
9833341,Mădulari,345590559,Mădulari,Q2050842
1264097,,422880863,Hințești,Q12168150
9964679,Lețcani,244321299,Lețcani,Q2607493
