polygon_id,polygon_name,point_id,point_name,point_wikidata_id
1207838,Iași,129984582,Iași,Q46852
1256013,,463189475,Băcălești,Q12081691
1256791,,463259349,Zărneni,Q12106654
1258022,,463180837,Valea Largă,Q12087478
1258022,,463180863,Valea Mantei,Q12087496
1258022,,462259433,Arioneștii Noi,Q12079410
1258022,,462259590,Valea Mieilor,Q12087495
1261720,,447930799,Vispești,Q12093495
1261727,,463196663,Pietroasa,Q12137214
1261727,,463196650,Olteni,Q12135767
1261736,,463190644,Crucea de Jos,Q12115124
1263588,,126278515,Drobeta-Turnu Severin,Q193890
1263589,,460205813,Pluta,Q12141102
1263591,,255506810,Adunații-Copăceni,Q2716849
1263592,,255538212,Vârteju,Q12089527
1263592,,255537074,Măgurele,Q2198771
1263592,,255536583,Alunișu,Q12077791
1263592,,255536827,Jilava,Q1654950
1263593,,460202654,Ogrezeni,Q2717809
1263594,Tuzla,140275556,Tuzla,Q1065953
1264090,,140142216,Costești,Q850992
1264090,,422880150,Șerboeni,Q12171704
1264090,,422880157,Vlăduța,Q12089906
1264092,,255591401,Buftea,Q217131
1264092,,247730222,Buciumeni,Q12086081
1264093,,422881307,Strâmbeni,Q12158231
1264093,,422881327,Chirițești,Q12116661
1264093,,422881313,Țuțulești,Q12168937
1264094,,392896090,Oarja,Q2348214
1264094,,422880990,Ceaușești,Q12169214
1264095,,140174166,Găești,Q125604
1264097,,422880863,Hințești,Q12168150
1264098,,463261590,Români,Q12148775
1264098,,463261348,Băbeni,Q275890
1264099,,448215967,Bilciurești,Q12086846
1264099,,255593462,Bujoreanca,Q12085429
1264099,,448216242,Iazu,Q12173410
1264099,,448216193,Cojasca,Q2621219
1264100,,460187097,Fețeni,Q12165693
1264100,,422881087,Pitoi,Q12146388
1264100,,422880257,Gorganu,Q12096907
1264100,,8739934746,Ion Mihalache,Q2779508
1264100,,422880261,Glodu,Q12096166
1264100,,422880239,Vrănești,Q12090832
1264100,,135038276,Topoloveni,Q739444
1264100,,422879745,Boțârcani,Q12084424
1264100,,422881123,Priboieni,Q1921758
1264100,,422880791,Glâmbocata-Deal,Q12096103
1264100,,422879760,Țigănești,Q12168772
1264100,,422881084,Sămăila,Q12151929
1264100,,422880264,Cârstieni,Q12109989
1264100,,295840777,Leordeni,Q2296585
1264100,,422880210,Urlucea,Q12164754
1264100,,422879767,Crintești,Q12115204
1264100,,422880787,Ciulnița,Q12170775
1264100,,422880785,Budișteni,Q12085410
1264100,,422880786,Cârciumărești,Q12110001
1264100,,422880783,Băila,Q12082520
1264100,,422879764,Gorănești,Q12096952
1264100,,422880788,Glâmbocata,Q12096104
1264100,,422880217,Râncăciov,Q12147999
1264100,,422881092,Valea Nenii,Q12087550
